index,birga_x,valin_x,valout_x,direction_x,rates_x,volume_x,Com_x,birga_y,valin_y,valout_y,direction_y,rates_y,volume_y,Com_y,Bal1,Bal2,volume,Vol1,Vol2,Vol3,Vol4,profit,percent
141,hot,BTC,PZM,buy,2.35e-06,2232.69,0.06,live,PZM,BTC,sell,2.17e-06,1354.04198709,0.18,25464.716252765957,12549.45140858,1354.04198709,0.003183907868863297,1354.04198709,1354.04198709,0.0029329822239837263,-0.0002509256448795707,-7.881058598883231
142,hot,BTC,PZM,buy,2.35e-06,2232.69,0.06,live,PZM,BTC,sell,2.16e-06,2482.41257418,0.18,25464.716252765957,12549.45140858,2232.69,0.0052499695929,2232.69,2232.69,0.00481392970128,-0.0004360398916200001,-8.305569849579616
143,hot,BTC,PZM,buy,2.35e-06,2232.69,0.06,live,PZM,BTC,sell,2.14e-06,19664.78852311,0.18,25464.716252765957,12549.45140858,2232.69,0.0052499695929,2232.69,2232.69,0.00476935627812,-0.0004806133147800002,-9.154592350972399
144,hot,BTC,PZM,buy,2.35e-06,2232.69,0.06,live,PZM,BTC,sell,2.13e-06,20111.18838364,0.18,25464.716252765957,12549.45140858,2232.69,0.0052499695929,2232.69,2232.69,0.004747069566539999,-0.0005029000263600007,-9.5791036016688
145,hot,BTC,PZM,buy,2.35e-06,2232.69,0.06,live,PZM,BTC,sell,2.12e-06,24967.02828364,0.18,25464.716252765957,12549.45140858,2232.69,0.0052499695929,2232.69,2232.69,0.004724782854960001,-0.0005251867379399994,-10.003614852365166
146,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,alfa,PZM,BTC,sell,2.22e-06,279.95495495,0.2,25143.732434453785,22340.27017956,279.95495495,0.0006666925684566685,279.95495495,279.95495495,0.0006202569999890219,-4.64355684676466e-05,-6.965064658683781
147,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,alfa,PZM,BTC,sell,2.19e-06,760.14216956,0.2,25143.732434453785,22340.27017956,760.14216956,0.0018102238465709315,760.14216956,760.14216956,0.0016613819286337272,-0.00014884191793720436,-8.222293514647507
148,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,alfa,PZM,BTC,sell,2.18e-06,3729.55960075,0.2,25143.732434453785,22340.27017956,2297.22,0.00547066403016,2297.22,2297.22,0.0049979237208,-0.00047274030935999956,-8.641369799968752
149,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,hot,PZM,BTC,sell,2.3e-06,19.42,0.06,25143.732434453785,0.2532381,0.2532381,6.030683020068001e-07,0.2532381,0.2532381,5.82098161422e-07,-2.097014058480011e-08,-3.477241386260698
150,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,hot,PZM,BTC,sell,2.28e-06,81.21000000000002,0.06,25143.732434453785,0.2532381,0.2532381,6.030683020068001e-07,0.2532381,0.2532381,5.770364382792e-07,-2.603186372760004e-08,-4.316569722032333
151,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,hot,PZM,BTC,sell,2.25e-06,152.61,0.06,25143.732434453785,0.2532381,0.2532381,6.030683020068001e-07,0.2532381,0.2532381,5.69443853565e-07,-3.3624448441800045e-08,-5.5755622256898025
152,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,hot,PZM,BTC,sell,2.23e-06,208.22000000000003,0.06,25143.732434453785,0.2532381,0.2532381,6.030683020068001e-07,0.2532381,0.2532381,5.643821304222e-07,-3.868617158460008e-08,-6.414890561461455
153,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,hot,PZM,BTC,sell,2.21e-06,279.62,0.06,25143.732434453785,0.2532381,0.2532381,6.030683020068001e-07,0.2532381,0.2532381,5.593204072794001e-07,-4.3747894727400014e-08,-7.25421889723309
154,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,live,PZM,BTC,sell,2.17e-06,1354.04198709,0.18,25143.732434453785,12549.45140858,1354.04198709,0.0032245535012317647,1354.04198709,1354.04198709,0.0029329822239837263,-0.00029157127724803835,-9.042221725788064
155,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,live,PZM,BTC,sell,2.16e-06,2482.41257418,0.18,25143.732434453785,12549.45140858,2297.22,0.00547066403016,2297.22,2297.22,0.004953063608639999,-0.0005176004215200003,-9.46138199433282
156,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,live,PZM,BTC,sell,2.14e-06,19664.78852311,0.18,25143.732434453785,12549.45140858,2297.22,0.00547066403016,2297.22,2297.22,0.00490720190856,-0.0005634621215999999,-10.299702531422321
157,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,live,PZM,BTC,sell,2.13e-06,20111.18838364,0.18,25143.732434453785,12549.45140858,2297.22,0.00547066403016,2297.22,2297.22,0.0048842710585199995,-0.00058639297164,-10.71886279996708
158,hot,BTC,PZM,buy,2.38e-06,2297.22,0.06,live,PZM,BTC,sell,2.12e-06,24967.02828364,0.18,25143.732434453785,12549.45140858,2297.22,0.00547066403016,2297.22,2297.22,0.00486134020848,-0.0006093238216799994,-11.138023068511824
159,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,alfa,PZM,BTC,sell,2.22e-06,279.95495495,0.2,24934.201330833337,22340.27017956,279.95495495,0.0006722950270151279,279.95495495,279.95495495,0.0006202569999890219,-5.203802702610598e-05,-7.740355786528082
160,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,alfa,PZM,BTC,sell,2.19e-06,760.14216956,0.2,24934.201330833337,22340.27017956,760.14216956,0.0018254358116681663,760.14216956,760.14216956,0.0016613819286337272,-0.00016405388303443913,-8.987107735358782
